location_id,location_name,country_iso,latitude,longitude,population
2162672,Toulouse SETMI Chapitre,,43.556374000090166,1.403964000250742,50000
2162673,Toulouse-SETMI Eisenhower,,43.56157999967562,1.3932610003402175,50000
2162674,Montgiscard SICOVAL,,43.45730600014825,1.5714690002028864,202559
2162675,Saint Gaudens Daurat,,43.1061550000569,0.7195499999973051,457878
2162676,Saint Gaudens Miramont,,43.09361299988439,0.743611000284973,53743
2162677,Tarbes lycée Dupuy,,43.23029699972903,0.062338999671559,269763
2162678,Peyrusse Vieille,,43.62869999973773,0.1790690000282007,102996
2162679,Gaudonville,,43.88393400024931,0.8456169995855567,50000
2162680,Montauban - Ramierou,,44.012855999860335,1.3753051995567598,102959
2162681,Rodez Camonil,,44.3569899999812,2.570704199783239,601423
2162682,Lourdes Lapaca,,43.09625000020019,-0.0404969998324174,56741
2162683,Dieppe Golf,,49.92049000024158,1.0478919995836755,625912
2162684,Rouen Proxi Quai de Paris,,49.43669999989953,1.098837999781717,50000
2162685,Petit-Quevilly Sud 3,,49.43416200004212,1.0670526998779395,205428
2162686,Centre Hospitalier,,49.40050000018459,1.0990419999962184,68225
2162687,Espace du Palais,,49.44235600018479,1.0937889998627024,50000
2162688,Honfleur Sce Tech.,,49.41510800027326,0.2436999999432196,68709
2868842,Beckenham,,-43.5599449,172.6436133,50000
2981155,The Views,,25.092213,55.168125,50000
3029371,Barr Street,,-45.887394879375385,170.46808104747197,102300
3071173,Turboweb,,-45.8796348,170.4704299,549542
3072986,North Shore,,-36.81028613406565,174.72680391701408,50000
3092518,Serena,,25.03432,55.28811,50000
3099020,Dubai Motor City,,25.04613617696849,55.24946085563235,50000
3185012,Riyadh,,24.849905766381248,46.63332079253333,236358
3219232,"Pohutukawa Drive, Levin Rural",,-40.646091,175.320496,98039
3307678,Foleys Dunedin,,-45.88992900390652,170.46102392081966,50000
3325992,Wakefield,,-41.40197639706106,173.0483596394972,129301
3358459,Unifone,,-45.86769839529696,170.47785623647712,69259
3400971,Lynwood Avenue,,-45.8635453,170.4972946,256008
3402591,Ferntree Drive,,-45.8605245,170.4768072,50000
3408765,Aali,,26.1507627,50.5102152,50000
4421507,Alkhobar - Ar Rakkah | الخبر - الراكة,,26.3521533,50.2069895,50000
4429437,Yahya Alarfaj,,24.8376657,46.6626471,50000
4437959,Paris Street,,-45.8482708,170.5271066,93356
4522428,Saheel,,25.05172289650278,55.25849204289439,88573
4593716,"Tilal Al Ghaf, Dubai",,25.016218306714453,55.216495643045015,60335
4844158,Otago Polytechnic Polykids,,-45.8651789,170.5182678,50000
5089570,Tuakau,,-37.267794,174.951827,50000
5188633,fazlee sons private limited,,24.85976539984288,67.01790019542673,50000
5531836,Dubai Silicon Oasis,,25.1214328,55.3752651,50000
5754000,WSP office test,,-41.28641,174.00604,50000
5774561,The Greens,,25.089619088463834,55.1713544090406,50000
5804513,Coastguard Dunedin,,-45.8838752,170.5070695,109762
5903768,Adhesion Sealing,,-45.87479395245598,170.47126808014767,1013863
6093597,Ross Street,,-45.87135,170.484272,77797
6135466,"The Bank of Punjab, Head Office, BOP Tower, Gulberg III.",,31.508051,74.337544,88108
6135469,Divisional Forest office Kotli Araian,,32.59938,74.479594,53547
6135470,NASTP,,33.607923,73.097489,50000
6135471,Ac Office Daska,,32.331763,74.350492,57539
6135472,Climate Action Center,,24.86377,67.056642,65535
784173,Riccarton Road,,-43.530356,172.589048,2409339
784182,Washdyke Alpine,,-44.356199,171.242334,50000
784183,Woolston,,-43.557532,172.681343,94119
784924,Rangiora,,-43.307439,172.594745,56836
800587,Christchurch - St Albans EP,,-43.508568,172.635835,50000
830906,Waimate Kennedy,,-44.732595,171.049778,332446
884467,Geraldine,,-44.100188,171.241443,184960
922546,Anzac Square,,-44.404486,171.249643,196132
